server:
vishal-kumar@vishal-kumar-Inspiron-15-3525:~/Desktop/PQC_codes/Day wise work/27 june/adaptive_benchmarking$ QC_DISABLE_RATE_LIMIT=1 ./server
[11:30:24.054] High-Performance Asynchronous io_uring PQC Server
  Protocol : ML-KEM-768 + ML-DSA-65 + ChaCha20-Poly1305
  Address  : 0.0.0.0:9877  |  Max clients: 4096

  DSA keygen : 1.710 ms (long-term identity)
  Rate limiting: ENABLED (50 pkts/s, burst 20)
  Crypto workers: 3 threads spawned (pinned to Cores 1-3)
  IPC RX : /tmp/pqc_rx.sock
  IPC TX : /tmp/pqc_tx.sock

╔══════════════════════════════════════════╗
║  PQC Server — Multi-Client Mode          ║
║  Run: ./server_rx  (receiver terminal)   ║
║  Run: ./server_tx  (sender terminal)     ║
╚══════════════════════════════════════════╝

│ TABLE 19 — Server CPU & Memory Utilization                              │
├─────────────────────────────────────────┬───────────────────────────────┤
│ Metric                                  │ Value                         │
├─────────────────────────────────────────┼───────────────────────────────┤
│ Server CPU Utilization                  │                        6.75%                    │
│ Server Peak RSS Memory                  │                   107.715 MB                   │
└─────────────────────────────────────────┴───────────────────────────────┘

┌─────────────────────────────────────────────────────────────────────────┐
│ TABLE 20 — Thread Core Mapping (Affinity)                               │
├─────────────────────────────────────────┬──────────────┬────────────────┤
│ Thread                                  │ Target Core  │ Role           │
├─────────────────────────────────────────┼──────────────┼────────────────┤
│ Main Event Thread                       │ Core 0       │ Network I/O    │
│ Worker Thread 1                         │ Core 1       │ Cryptography   │
│ Worker Thread 2                         │ Core 2       │ Cryptography   │
│ Worker Thread 3                         │ Core 3       │ Cryptography   │
└─────────────────────────────────────────┴──────────────┴────────────────┘


[server] Shutdown complete.
vishal-kumar@vishal-kumar-Inspiron-15-3525:~/Desktop/PQC_codes/Day wise work/27 june/adaptive_benchmarking$ 



Client:

raspberry@pi-2:~/PQC/PQC $ ./bench_nclient_arm32 100  10.59.57.160

╔══════════════════════════════════════════════════════════════╗
║     N-Client Concurrent PQC Handshake Benchmark              ║
║  ML-KEM-768  +  ML-DSA-65  +  ChaCha20-Poly1305             ║
╚══════════════════════════════════════════════════════════════╝
  Clients    : 100
  Messages   : 5 per client 
  Server     : 10.59.57.160:9877
  Timer      : CLOCK_MONOTONIC (ns resolution)

  Spawning 100 client threads...
┌─ Per-Client Handshake & Secure Communication Metrics ────────────────────────────────────────────────────────────────────────────────────────────────────────┐
│  Client ID  │  Status  │  Total HS (ms)  │  Msgs Sent  │  Msgs Recv  │  Min Msg RTT (ms)  │  Max Msg RTT (ms)  │  Avg Msg RTT (ms)  │
│  ───────────┼──────────┼─────────────────┼─────────────┼─────────────┼────────────────────┼────────────────────┼────────────────────│
│  0          │  Active  │          673.255  │            5  │            0  │               0.000  │               0.000  │               0.000  │
│  1          │  Active  │          674.469  │            5  │            0  │               0.000  │               0.000  │               0.000  │
│  2          │  Active  │          675.778  │            5  │            0  │               0.000  │               0.000  │               0.000  │
│  3          │  Active  │          675.668  │            5  │            0  │               0.000  │               0.000  │               0.000  │
│  4          │  Active  │          674.994  │            5  │            0  │               0.000  │               0.000  │               0.000  │
│  5          │  Active  │          675.970  │            5  │            0  │               0.000  │               0.000  │               0.000  │
│  6          │  Active  │          675.350  │            5  │            0  │               0.000  │               0.000  │               0.000  │
│  7          │  Active  │          674.102  │            5  │            0  │               0.000  │               0.000  │               0.000  │
│  8          │  Active  │          675.502  │            5  │            0  │               0.000  │               0.000  │               0.000  │
│  9          │  Active  │          674.980  │            5  │            0  │               0.000  │               0.000  │               0.000  │
│  10         │  Active  │          677.576  │            5  │            0  │               0.000  │               0.000  │               0.000  │
│  11         │  Active  │          675.280  │            5  │            0  │               0.000  │               0.000  │               0.000  │
│  12         │  Active  │          677.240  │            5  │            0  │               0.000  │               0.000  │               0.000  │
│  13         │  Active  │          674.009  │            5  │            0  │               0.000  │               0.000  │               0.000  │
│  14         │  Active  │          688.251  │            5  │            0  │               0.000  │               0.000  │               0.000  │
│  15         │  Active  │          673.972  │            5  │            0  │               0.000  │               0.000  │               0.000  │
│  16         │  Active  │          676.998  │            5  │            0  │               0.000  │               0.000  │               0.000  │
│  17         │  Active  │         1067.398  │            5  │            0  │               0.000  │               0.000  │               0.000  │
│  18         │  Active  │         1068.290  │            5  │            0  │               0.000  │               0.000  │               0.000  │
│  19         │  Active  │         1067.991  │            5  │            0  │               0.000  │               0.000  │               0.000  │
│  20         │  Active  │          688.838  │            5  │            0  │               0.000  │               0.000  │               0.000  │
│  21         │  Active  │         1069.254  │            5  │            0  │               0.000  │               0.000  │               0.000  │
│  22         │  Active  │         2751.195  │            5  │            0  │               0.000  │               0.000  │               0.000  │
│  23         │  Active  │         1849.066  │            5  │            0  │               0.000  │               0.000  │               0.000  │
│  24         │  Active  │         1067.523  │            5  │            0  │               0.000  │               0.000  │               0.000  │
│  25         │  Active  │         3056.304  │            5  │            2  │               0.056  │              17.103  │               8.579  │
│  26         │  Active  │         1068.563  │            5  │            0  │               0.000  │               0.000  │               0.000  │
│  27         │  Active  │         2739.893  │            5  │            0  │               0.000  │               0.000  │               0.000  │
│  28         │  Active  │         3055.108  │            5  │            2  │               0.073  │              18.402  │               9.237  │
│  29         │  Active  │         3024.293  │            5  │            3  │               0.036  │              57.906  │              26.187  │
│  30         │  Active  │         2218.231  │            5  │            0  │               0.000  │               0.000  │               0.000  │
│  31         │  Active  │         2484.229  │            5  │            0  │               0.000  │               0.000  │               0.000  │
│  32         │  Active  │         3016.969  │            5  │            2  │               0.659  │              13.775  │               7.217  │
│  33         │  Active  │         3017.091  │            5  │            2  │               0.343  │               9.132  │               4.738  │
│  34         │  Active  │         3024.633  │            5  │            2  │               9.132  │              22.112  │              15.622  │
│  35         │  Active  │         3105.501  │            5  │            3  │               1.994  │              17.766  │               8.920  │
│  36         │  Active  │         3055.186  │            5  │            2  │               3.605  │              18.784  │              11.194  │
│  37         │  Active  │         1848.136  │            5  │            0  │               0.000  │               0.000  │               0.000  │
│  38         │  Active  │         3023.331  │            5  │            3  │              14.048  │              57.559  │              29.751  │
│  39         │  Active  │         1848.970  │            5  │            0  │               0.000  │               0.000  │               0.000  │
│  40         │  Active  │         2483.037  │            5  │            0  │               0.000  │               0.000  │               0.000  │
│  41         │  Active  │         2483.041  │            5  │            0  │               0.000  │               0.000  │               0.000  │
│  42         │  Active  │         3012.952  │            5  │            2  │               0.520  │              13.130  │               6.825  │
│  43         │  Active  │         2751.556  │            5  │            0  │               0.000  │               0.000  │               0.000  │
│  44         │  Active  │         2749.799  │            5  │            0  │               0.000  │               0.000  │               0.000  │
